"id";"poste";"localisation";"domaine";"contrat";"entreprise";"salaire";"niveau_etude";"competences"
"143";"Developpeur full stack";"Rabat";"Informatique / Multimédia / Internet";"CDI";"ATT";"A discuter";"Pas important";"python,kotlin,flutter,vue,angular,node"
"144";"Développeur web mobile React Native";"Casablanca";"Informatique / Multimédia / Internet";"CDI";"TNA Consulting";"A discuter";"Bac plus 5";"java,react,swift,kotlin,react native,jee"
"145";"Développeur WinDev";"Casablanca";"Informatique / Multimédia / Internet";"CDI";"SUPDEV";"A discuter";"Bac plus 2";"angular,oracle"
"146";"Développeur fullstack Laravel";"Casablanca";"Informatique / Multimédia / Internet";"CDI";"Qualiso";"A discuter";"Bac plus 3";"java,javascript,jquery,react,php,laravel,ajax,bootstrap"
"147";"Full stack developer";"Casablanca";"Informatique / Multimédia / Internet";"A discuter";"RH WE";"A discuter";"Pas important";"java,javascript,react,html,css,php,python,react native,bootstrap,wordpress"
"148";"Formateur en Développement Informatique";"Rabat";"Education / Social / Petite Enfance";"A discuter";"MIAGE RABAT SALE";"A discuter";"Bac plus 3";"java,c++"
"149";"Développeur PHP Laravel";"Marrakech";"Informatique / Multimédia / Internet";"CDI";"Smart Influencer";"4 000 - 6 000 DH";"Bac plus 2";"php,laravel,vue"
"150";"Développeur Full stack Java/Angular";"Rabat";"Informatique / Multimédia / Internet";"CDI";"Ayouris";"A discuter";"Pas important";"java,angular"
"151";"SENIOR FULL STACK ENGINEER";"Autre ville";"Informatique / Multimédia / Internet";"CDI";"Confidentiel";"A discuter";"Bac plus 5";"java,node"
"152";"DEVELOPPEUR FRONT END SENIOR";"Berrechid";"Informatique / Multimédia / Internet";"CDI";"Confidentiel";"A discuter";"Bac plus 5";"java,javascript,react,html,css,vue,angular"
"153";"Développeur web LARAVEL full stack";"Rabat";"Informatique / Multimédia / Internet";"CDI";"Genivar";"A discuter";"Bac plus 3";"java,javascript,html,css,php,laravel,bootstrap"
"154";"Ingénieur seniors JAVA JEE";"Rabat";"Autre";"A discuter";"SIS Consultants";"A discuter";"Bac plus 5";"java,jee,j2ee"
"155";"JAVA Développeur";"Tout le Maroc";"Informatique / Multimédia / Internet";"CDI";"Confidentiel";"A discuter";"Bac plus 4";"java,angular"
"156";"DÉVELOPPEUR LOGICIEL SÉNIOR - Xamarin";"Casablanca";"Informatique / Multimédia / Internet";"CDD";"LHT";"8 000 - 10 000 DH";"Bac plus 3";"c#"
"157";"Développeur PHP / Symfony - Casablanca";"Casablanca";"Informatique / Multimédia / Internet";"A discuter";"CONFIDENTIEL";"3 000 - 4 000 DH";"Bac plus 3";"php"
"158";"Développeur WEB";"Temara";"Informatique / Multimédia / Internet";"A discuter";"Mobidigitech";"A discuter";"Bac plus 3";"laravel,node"
"159";"Software DevOps developpeur";"Casablanca";"Informatique / Multimédia / Internet";"A discuter";"InCorp H";"8 000 - 10 000 DH";"Bac plus 5";"java,html,css,python"
"160";"Développeur informatique";"Casablanca";"Informatique / Multimédia / Internet";"CDI";"Direct Invest";"4 000 - 6 000 DH";"Bac plus 4";"php"
"161";"Des développeurs JAVA JEE";"Rabat";"Informatique / Multimédia / Internet";"A discuter";"Confidentiel";"A discuter";"Bac plus 2";"java,jee"
"162";"Python Developer";"Tanger";"Informatique / Multimédia / Internet";"CDI";"Multivistas Media";"A discuter";"Bac plus 2";"java,javascript,jquery,html,css,python,scala,django"
